"Transect","Site","Latitude","Longitude","Elevation","pH","Conductivity","Moisture","Temperature","Mean Diurnal Range","Isothermality","Temperature Seasonality","Temperature Annual Range","Annual Precipitation","Precipitation of Wettest Month","Precipitation of Driest Month","Precipitation Seasonality","Precipitation of Warmest Quarter","Precipitation of Coldest Quarter","Sigma Maturity Index","Channel Index","Composite footprint","Enrichment footprint","Herbivores, % of total","Fungivores, % of total","Bacterivores, % of total","Predators, % of total","Omnivores, % of total","Sedentary parasites, % of herbivores","Migratory endoparasites, % of herbivores","Semi-endoparasites, % of herbivores","Ectoparasites, % of herbivores","Epidermal/root hair feeders, % of herbivores","Algal/lichen/moss feeders, % of herbivores","CP 1, % of free-living","CP 2, % of free-living","CP 3, % of free-living","CP 4, % of free-living","CP 5, % of free-living","PP 2, % of herbivores","PP 3, % of herbivores","PP 4, % of herbivores","PP 5, % of herbivores"
"Bakori","BK1",33.28539722,74.43906667,1091,6.84,4,16.1,19.2,112,358,6723,313,1216,331,12,97,646,232,1.18,0,151.65,148.39,0,0,100,0,0,"NaN","NaN","NaN","NaN","NaN","NaN",81.5,18.5,0,0,0,"NaN","NaN","NaN","NaN"
"Bakori","BK2",33.31321667,74.46621389,1287,6.79,3,17.3,17.2,112,358,6736,312,1222,325,13,94,639,240,1.35,0,205.98,193.86,0,0,93.6,6.4,0,"NaN","NaN","NaN","NaN","NaN","NaN",78.2,15.5,0,6.4,0,"NaN","NaN","NaN","NaN"
"Bakori","BK3",33.34730833,74.47665278,1740,6.19,3,21,15.5,112,358,6829,312,1570,397,16,93,849,302,1.5,0,79.92,66.16,0,0,100,0,0,"NaN","NaN","NaN","NaN","NaN","NaN",50,50,0,0,0,"NaN","NaN","NaN","NaN"
"Bakori","BK4",33.36039722,74.48899167,1790,6.1,2,23.8,14.8,112,358,6842,312,1531,353,16,82,758,318,1.59,2.19,70.45,51.74,0,3.7,96.3,0,0,"NaN","NaN","NaN","NaN","NaN","NaN",41.1,58.9,0,0,0,"NaN","NaN","NaN","NaN"
"Bakori","BK5",33.38785833,74.53160278,2250,6.5,2,25.1,13.5,111,360,6881,310,1623,376,18,84,806,346,1.85,3.17,42.77,26.93,0,11.5,81.2,7.3,0,"NaN","NaN","NaN","NaN","NaN","NaN",44,42.9,2.6,5.2,5.2,"NaN","NaN","NaN","NaN"
"Bakori","BK6",33.41154722,74.51281389,2374,6.23,1,25.5,12,111,360,6887,309,1552,362,18,85,780,324,2.96,21.88,306.45,11.38,20,9.1,48.3,0,22.6,"0","33.799999999999997","10.4","55.8","0","0",8.1,43.5,2.3,46.1,0,"0","67.5","32.5","0"
"Bakori","BK7",33.41745,74.52131111,2812,5.69,1,26,8.8,111,360,6970,308,1682,370,22,80,1106,374,3.07,18.31,239.51,13.2,25.5,6.8,42.7,8.4,16.6,"9.6999999999999993","26.6","18.5","45.2","0","0",8,28.7,22.6,38,2.8,"12.1","54","24.2","9.6999999999999993"
"Bakori","BK8",33.46079167,74.51494722,3190,6.39,0.5,28.2,7.2,111,360,7035,308,1711,347,25,71,1035,394,3.4,72.73,755.34,9.6,22.2,10.2,18.3,0,49.4,"5.5","37.6","23.9","33","0","0",0.8,17.8,8.6,72.8,0,"20.2","74.3","0","5.5"
"Bakori","BK9",33.46906389,74.548625,3484,6.07,0.5,28,5,111,360,7102,308,1679,327,25,67,971,408,3.38,21.21,555.43,4.61,29.8,7.7,16.1,0,46.4,"9.4","34.5","22.3","33.799999999999997","0","0",4,13.8,6.4,75.8,0,"18","72.7","0","9.4"
"Bakori","BK10",33.48540556,74.54107222,3724,6.18,0.5,29.9,4.8,111,360,7139,307,1471,273,23,63,793,367,3.49,11.5,612.83,7.19,20.7,8,10.3,0,61,"0","43.1","27.6","29.3","0","0",5.6,2.9,7.4,84,0,"29.3","70.7","0","0"
"Budhal","B1",33.27621667,74.56781389,1114,6.28,5,18.1,18.4,112,356,6780,315,1323,368,11,104,772,214,2.07,0,104.52,83.92,0,0,74.3,25.7,0,"NaN","NaN","NaN","NaN","NaN","NaN",44.8,29.5,0,25.7,0,"NaN","NaN","NaN","NaN"
"Budhal","B2",33.28576389,74.60315833,1306,6.71,6,18.3,17.3,112,357,6793,314,1367,374,12,102,789,227,1.53,0,48.53,46.82,0,0,100,0,0,"NaN","NaN","NaN","NaN","NaN","NaN",50.5,45.5,4,0,0,"NaN","NaN","NaN","NaN"
"Budhal","B3",33.32505833,74.53367778,1652,6.81,6,19.2,16.8,112,357,6837,313,1484,389,13,97,845,245,1.62,0,86.82,73.33,0,0,100,0,0,"NaN","NaN","NaN","NaN","NaN","NaN",37.6,62.4,0,0,0,"NaN","NaN","NaN","NaN"
